standard_product,product_instance,price_type,price_value,currency,unit,market_region,as_of_date,source_doc,source_type,confidence,notes
CPU,Intel Xeon 6980P,official_rcp,13955,USD,per_processor,US,2026-06-17,https://www.intel.com/content/www/us/en/products/sku/240777/intel-xeon-6980p-processor-504m-cache-2-00-ghz/ordering.html,official_product_ordering_page,high,Intel recommended customer price; pricing guidance only.
GPU,NVIDIA B200 inference cost,benchmark_cost_per_million_tokens,0.02,USD,per_million_tokens,US,2026-04-01,https://www.nvidia.com/en-us/data-center/h100/,official_product_page,medium,NVIDIA page cites SemiAnalysis InferenceX benchmark for B200 cost per million tokens
GPU,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,official_store_price,13250,USD,per_card,US,2026-06-17,https://marketplace.nvidia.com/en-us/enterprise/laptops-workstations/nvidia-rtx-pro-6000-blackwell-workstation-edition/,official_marketplace,medium,NVIDIA marketplace listing; out-of-stock status means this is not necessarily executable transaction price.
MCU,Raspberry Pi Pico 2 / RP2350 board,authorized_reseller_price,6.25,USD,per_board,US,2026-06-17,https://www.adafruit.com/product/6006,authorized_reseller_listing,medium,Adafruit product listing price; reseller price can change.
MCU,Raspberry Pi Pico 2 / RP2350 board,official_board_price,5,USD,per_board,global_reseller_network,2024-08-08,https://www.raspberrypi.com/news/rp2350-now-available-to-buy-a-high-performance-secure-microcontroller-for-your-next-project/,official_company_news,high,Raspberry Pi states RP2350 debuted on the $5 Raspberry Pi Pico 2 board.
MCU,Raspberry Pi RP2040,bulk_direct_price_3400_reel,0.7,USD,per_chip,direct_bulk,2022-01-17,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/,official_company_news,high,Raspberry Pi Direct reel of 3400 unit price.
MCU,Raspberry Pi RP2040,bulk_direct_price_500_reel,0.8,USD,per_chip,direct_bulk,2022-01-17,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/,official_company_news,high,Raspberry Pi Direct reel of 500 unit price.
MCU,Raspberry Pi RP2040,single_unit_price,1,USD,per_chip,global_reseller_network,2022-01-17,https://www.raspberrypi.com/news/raspberry-pi-direct-buy-rp2040-in-bulk-from-just-0-70/,official_company_news,high,Raspberry Pi states RP2040 single-unit price through approved resellers.
CPU,Intel Xeon 6780E,official_rcp,9535,USD,per_processor,US,2026-06-17,https://www.intel.com/content/www/us/en/products/sku/240362/intel-xeon-6780e-processor-108m-cache-2-20-ghz/ordering.html,official_product_ordering_page,high,Intel Recommended Customer Price.
CPU,AMD EPYC 9965,industry_media_reported_official_1ku_price,14813,USD,per_processor_1ku,US,2026-06-17,https://www.tomshardware.com/pc-components/cpus/retailers-quietly-slash-prices-of-amds-and-intels-latest-epyc-and-xeon-cpus-by-up-to-50-percent-inexplicable-price-drops-left-unexplained,industry_media_price_report,medium,Tom Hardware reports AMD official 1kU pricing; not an AMD order page.
GPU,Intel Arc B580 Limited Edition,official_rcp,249,USD,per_card,US,2026-06-17,https://www.intel.com/content/www/us/en/products/sku/241598/intel-arc-b580-graphics/ordering.html,official_product_ordering_page,high,Intel Recommended Customer Price.
MCU,NXP LPC55S69-EVK development board,official_store_price,44.85,USD,per_board,US,2026-06-17,https://www.nxp.com/design/design-center/software/development-software/mcuxpresso-software-and-tools-/lpcxpresso-boards/lpcxpresso55s69-development-board%3ALPC55S69-EVK,official_store_price,high,NXP buy option price for LPC55S69-EVK board.
MCU,Microchip ATmega328P-AN,authorized_reseller_price,2.88,USD,per_chip,US,2026-06-17,https://www.newark.com/microchip/atmega328p-an/microcontroller-mcu-8-bit-atmega/dp/68T2933,authorized_reseller_listing,medium,Newark listing; price shown includes applicable duties/tariffs in snippet.
MCU,TI MSPM0 low-cost MCU family,industry_media_reported_1ku_price,0.16,USD,per_chip_1000_units,US,2026-06-17,https://www.eejournal.com/article/ti-says-its-mspm0-is-the-worlds-most-teeny-tiny-32-bit-microcontroller-its-smaller-than-a-grain-of-white-rice-and-costs-16-cents/,industry_media_price_report,medium,EEJournal reports lowest-cost MSPM0 devices sell for 16 cents in 1000-unit quantities.
MCU,TI MSPM0C1104 LaunchPad,industry_media_reported_board_price,5.99,USD,per_board,US,2026-06-17,https://www.eejournal.com/article/ti-says-its-mspm0-is-the-worlds-most-teeny-tiny-32-bit-microcontroller-its-smaller-than-a-grain-of-white-rice-and-costs-16-cents/,industry_media_price_report,medium,EEJournal reports MSPM0C1104 LaunchPad price.
MCU,STMicroelectronics STM32G050F6P6,industry_media_reported_10ku_price,0.47,USD,per_chip,US,2026-06-17,https://www.eejournal.com/industry_news/stmicroelectronics-extends-stm32g0-microcontroller-series-with-usb-c-full-speed-dual-role-port-can-fd-and-larger-memory/,industry_media_price_report,medium,EEJournal reports STM32G050F6P6 priced from $0.47.
MCU,STMicroelectronics STM32G0B0KET6,industry_media_reported_10ku_price,1.21,USD,per_chip_10000_units,US,2026-06-17,https://www.eejournal.com/industry_news/stmicroelectronics-extends-stm32g0-microcontroller-series-with-usb-c-full-speed-dual-role-port-can-fd-and-larger-memory/,industry_media_price_report,medium,"EEJournal reports STM32G0B0KET6 begins at $1.21 for 10,000-piece orders."
NAND Flash,Micron 9400 PRO 15.36TB NVMe SSD,retail_listing,3342.99,USD,per_ssd,US,2026-06-17,https://www.cdw.com/product/micron-9400-pro-ssd-enterprise-15360-gb-u.3-pcie-4.0-x4-nvme/7299362,retail_listing,medium,CDW advertised price for Micron 9400 PRO 15.36TB SSD.
NAND Flash,Samsung 990 PRO 4TB SSD,retail_listing,880,USD,per_ssd,US,2026-06-17,https://www.amazon.com/SAMSUNG-Computing-Workstations-MZ-V9P4T0B-AM/dp/B0CHGT1KFJ,retail_listing,low,Amazon third-party offer observed in search snippet; volatile retail price.
